latitude;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
60;15;20;26;32;38;41;40;34;28;22;17;13
55;17;21;26;32;36;39;38;33;28;23;18;16
50;19;23;27;31;34;36;35;32;28;24;20;18
45;20;23;27;30;34;35;34;32;28;24;21;20
40;22;24;27;30;32;34;33;31;28;25;22;21
35;23;25;27;29;31;32;32;30;28;25;23;22
30;24;25;27;29;31;32;31;30;28;26;24;23
25;24;26;27;29;30;31;31;29;28;26;25;24
20;25;26;27;28;29;30;30;29;28;26;25;25
15;26;26;27;28;29;29;29;28;28;27;26;25
10;26;27;27;28;28;29;29;28;28;27;26;26
5;27;27;27;28;28;28;28;28;28;27;27;27
0;27;27;27;27;27;27;27;27;27;27;27;27
