latitude;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
70; 41,40 ;28,6;15,8;4,9;0,2;0;0;2,2;10,7;23,5;37,3;45,3
68;41;29,3;16,9;6;0,8;0;0;3,2;11,9;24,4;37,4;44,7
66;40,9;30;18,1;72;1,5;0,1;0,5;4,2;13,1;25,4;37,6;44,1
64;41;30,8;19,3;8,4;2,4;0,6;1,2;5,3;14,4;26,3;38;43,9
62;41,2;31,5;20,4;9,6;3,4;1,2;2;6,4;15,5;272;38,3;43,9
60;41,5;32,3;21,5;10,8;4,4;2;2,9;7,6;16,7;28,1;38,7;43,9
58;41,7;33;22,6;12;5,5;2,9;3,9;8,7;17,9;28,9;39,1;44
56;42;33,7;23,6;13,2;6,6;3,9;4,9;9,9;19;29,8;39,5;44,1
54;42,2;34,3;24,6;14,4;7,7;4,9;6;11,1;20,1;30,6;39,9;44,3
52;42,5;35;25,6;15,6;8,8;6;7,1;12,2;21,2;31,4;40,2;44,4
50;42,7;35,6;26,6;16,7;10;7,1;8,2;13,4;22,2;32,1;40,6;44,5
48;42,9;36,2;27,5;17,9;11,1;8,2;9,3;14,6;23,3;32,8;40,9;44,5
46;43;36,7;28,4;19;12,3;9,3;10,4;15,7;24,3;33,5;41,1;44,6
44;43,2;37,2;29,3;20,1;13,5;10,5;11,6;16,8;25,2;34,1;41,4;44,6
42;43,3;37,7;30,1;212;14,6;11,6;12,8;18;26,2;34,7;41,6;44,6
40;43,4;38,1;30,9;22,3;15,8;12,8;13,9;19,1;27,1;35,3;41,8;44,6
38;43,4;38,5;31,7;23,3;16,9;13,9;15,1;20,2;28;35,8;41,9;44,5
36;43,4;38,9;32,4;24,3;18,1;15,1;16,2;21,2;28,8;36,3;42;44,4
34;43,4;39,2;33;25,3;19,2;16,2;17,4;23,3;29,6;36,7;42;44,3
32;43,3;39,4;33,7;26,3;20,3;17,4;18,5;23,3;30,4;37,1;42;44,1
30;43,1;39,6;34,3;27,2;21,4;18,5;19,6;24,3;31,1;375;42;43,9
28;43;39,8;34,8;28,1;22,5;19,7;20,7;25,3;31,8;37,8;41,9;43,6
26;42,8;39,9;35,3;29;23,5;20,8;21,8;26,3;32,5;38;41,8;43,3
24;42,5;40;35,8;29,8;24,6;21,9;22,9;27,2;33,1;38,3;41,7;43
22;42,2;40,1;36,2;30,6;25,6;23;24;28,1;33,7;38,4;41,4;42,6
20;41,9;40;36,6;31,3;26,6;24,1;25;28,9;34,2;38,6;41,2;42,1
18;41,5;40;37;32,1;27,5;25,1;26;29,8;34,7;38,7;40,9;41,7
16;41,1;39,9;37,2;32,8;28,5;26,2;27;30,6;35,2;38,7;40,6;41,2
14;40,6;39,7;37,5;33,4;29,4;27,2;27,9;31,3;35,6;38,7;40,2;40,6
12;40,1;39,6;37,7;34;30,2;28,1;28,9;32,1;36;38,6;39,8;40
10;395;39,3;37,8;34,6;31,1;29,1;29,8;32,8;36,3;385;39,3;39,4
8;38,9;39;37,9;35,1;31,9;30;30,7;33,4;36,6;38,4;38,8;38,7
6;38,3;38,7;38;35,6;32,7;30,9;31,5;34;36,8;382;38,2;38
4;37,6;38,3;38;36;33,4;31,8;32,3;34,6;37;38;37,6;37,2
2;36,9;37,9;38;36,4;34,1;32,6;33,1;35,2;37,1;37,7;37;36,4
0;36,2;37,5;37,9;36,8;34,8;33,4;33,9;35,7;37,2;37,4;36,6;35,6
